Iran|Southern and Central Asia|IRN|67702000|Bandar-e Anzali|Gilan|98500
India|Southern and Central Asia|IND|1013662000|Vijayawada|Andhra Pradesh|701827
Indonesia|Southeast Asia|IDN|212107000|Klaten|Central Java|103300
Germany|Western Europe|DEU|82164700|Ratingen|Nordrhein-Westfalen|90951
Indonesia|Southeast Asia|IDN|212107000|Medan|Sumatera Utara|1843919
Syria|Middle East|SYR|16125000|Duma|Damaskos|131158
China|Eastern Asia|CHN|1277558000|Panjin|Liaoning|362773
Netherlands|Western Europe|NLD|15864000|Arnhem|Gelderland|138020
Malta|Southern Europe|MLT|380200|Birkirkara|Outer Harbour|21445
Mexico|Central America|MEX|98881000|Hidalgo|Michoacán de Ocampo|106198
Canada|North America|CAN|31147000|Montréal|Québec|1016376
China|Eastern Asia|CHN|1277558000|Ezhou|Hubei|190123
Malaysia|Southeast Asia|MYS|22244000|Kuantan|Pahang|199484
Philippines|Southeast Asia|PHL|75967000|Tabaco|Bicol|107166
Japan|Eastern Asia|JPN|126714000|Niihama|Ehime|127207
Italy|Southern Europe|ITA|57680000|Bari|Apulia|331848
Colombia|South America|COL|42321000|Santa Marta|Magdalena|359147
Philippines|Southeast Asia|PHL|75967000|Kalookan|National Capital Reg|1177604
India|Southern and Central Asia|IND|1013662000|Bulandshahr|Uttar Pradesh|127201
China|Eastern Asia|CHN|1277558000|Shenzhen|Guangdong|950500
Pakistan|Southern and Central Asia|PAK|156483000|Sadiqabad|Punjab|141500
Philippines|Southeast Asia|PHL|75967000|Bayugan|Caraga|93623
Haiti|Caribbean|HTI|8222000|Port-au-Prince|Ouest|884472
Anguilla|Caribbean|AIA|8000|The Valley|–|595
Cuba|Caribbean|CUB|11201000|Bayamo|Granma|141000
United States|North America|USA|278357000|Laredo|Texas|176576
India|Southern and Central Asia|IND|1013662000|Uluberia|West Bengali|155172
India|Southern and Central Asia|IND|1013662000|Kanpur Cantonment|Uttar Pradesh|93109
Bangladesh|Southern and Central Asia|BGD|129155000|Khulna|Khulna|663340
Guadeloupe|Caribbean|GLP|456000|Basse-Terre|Basse-Terre|12433
Brazil|South America|BRA|170115000|Santarém|Pará|241771
India|Southern and Central Asia|IND|1013662000|Barddhaman (Burdwan)|West Bengali|245079
Japan|Eastern Asia|JPN|126714000|Ashikaga|Tochigi|165243
Spain|Southern Europe|ESP|39441700|Almería|Andalusia|169027
India|Southern and Central Asia|IND|1013662000|Hindupur|Andhra Pradesh|104651
Bolivia|South America|BOL|8329000|Oruro|Oruro|223553
Spain|Southern Europe|ESP|39441700|Valencia|Valencia|739412
India|Southern and Central Asia|IND|1013662000|Yamuna Nagar|Haryana|144346
Namibia|Southern Africa|NAM|1726000|Windhoek|Khomas|169000
France|Western Europe|FRA|59225700|Brest|Bretagne|149634
Kazakstan|Southern and Central Asia|KAZ|16223000|Qyzylorda|Qyzylorda|157400
Pakistan|Southern and Central Asia|PAK|156483000|Tando Adam|Sind|103400
Thailand|Southeast Asia|THA|61399000|Nakhon Ratchasima|Nakhon Ratchasima|181400
India|Southern and Central Asia|IND|1013662000|Ingraj Bazar (English Bazar)|West Bengali|139204
Philippines|Southeast Asia|PHL|75967000|Concepcion|Central Luzon|115171
Indonesia|Southeast Asia|IDN|212107000|Cirebon|West Java|254406
Brazil|South America|BRA|170115000|Alagoinhas|Bahia|126820
United Kingdom|British Islands|GBR|59623400|Oxford|England|144000
Mexico|Central America|MEX|98881000|Tapachula|Chiapas|271141
Czech Republic|Eastern Europe|CZE|10278100|Liberec|Severní Cechy|99155
Russian Federation|Eastern Europe|RUS|146934000|Joškar-Ola|Marinmaa|249200
Netherlands|Western Europe|NLD|15864000|Zaanstad|Noord-Holland|135621
Russian Federation|Eastern Europe|RUS|146934000|Murom|Vladimir|142400
Israel|Middle East|ISR|6217000|Ashdod|Ha Darom|155800
Japan|Eastern Asia|JPN|126714000|Kumagaya|Saitama|157171
Belize|Central America|BLZ|241000|Belmopan|Cayo|7105
Russian Federation|Eastern Europe|RUS|146934000|Petroskoi|Karjala|282100
Czech Republic|Eastern Europe|CZE|10278100|Plzen|Zapadní Cechy|166759
Venezuela|South America|VEN|24170000|Guacara|Carabobo|131334
Palestine|Middle East|PSE|3101000|Khan Yunis|Khan Yunis|123175
Guatemala|Central America|GTM|11385000|Ciudad de Guatemala|Guatemala|823301
United Kingdom|British Islands|GBR|59623400|Newcastle upon Tyne|England|189150
South Africa|Southern Africa|ZAF|40377000|Vanderbijlpark|Gauteng|468931
Brazil|South America|BRA|170115000|Ji-Paraná|Rondônia|93346
United States|North America|USA|278357000|Berkeley|California|102743
United States|North America|USA|278357000|Tacoma|Washington|193556
France|Western Europe|FRA|59225700|Limoges|Limousin|133968
Israel|Middle East|ISR|6217000|Bat Yam|Tel Aviv|137000
Liechtenstein|Western Europe|LIE|32300|Schaan|Schaan|5346
Germany|Western Europe|DEU|82164700|Freiburg im Breisgau|Baden-Württemberg|202455
Philippines|Southeast Asia|PHL|75967000|Bayawan (Tulong)|Central Visayas|101391
Algeria|Northern Africa|DZA|31471000|Biskra|Biskra|128281
India|Southern and Central Asia|IND|1013662000|Khammam|Andhra Pradesh|127992
Gambia|Western Africa|GMB|1305000|Serekunda|Kombo St Mary|102600
Niger|Western Africa|NER|10730000|Zinder|Zinder|120892
Spain|Southern Europe|ESP|39441700|Vigo|Galicia|283670
Mexico|Central America|MEX|98881000|Tehuacán|Puebla|225943
Russian Federation|Eastern Europe|RUS|146934000|Tver|Tver|454900
India|Southern and Central Asia|IND|1013662000|Nagaon|Assam|93350
China|Eastern Asia|CHN|1277558000|Ganzhou|Jiangxi|220129
South Korea|Eastern Asia|KOR|46844000|Yangsan|Kyongsangnam|163351
Netherlands|Western Europe|NLD|15864000|Haarlem|Noord-Holland|148772
United Kingdom|British Islands|GBR|59623400|Nottingham|England|287000
Puerto Rico|Caribbean|PRI|3869000|San Juan|San Juan|434374
Peru|South America|PER|25662000|Huancayo|Junín|327000
Saint Lucia|Caribbean|LCA|154000|Castries|Castries|2301
Monaco|Western Europe|MCO|34000|Monte-Carlo|–|13154
Ukraine|Eastern Europe|UKR|50456000|Berdytšiv|Zytomyr|90000
China|Eastern Asia|CHN|1277558000|Qingzhou|Shandong|128258
Mexico|Central America|MEX|98881000|San Juan Bautista Tuxtepec|Oaxaca|133675
United States|North America|USA|278357000|Dallas|Texas|1188580
Iran|Southern and Central Asia|IRN|67702000|Mashhad|Khorasan|1887405
Egypt|Northern Africa|EGY|68470000|Assuan|Assuan|219017
Nigeria|Western Africa|NGA|111506000|Mushin|Lagos|333200
Yugoslavia|Southern Europe|YUG|10640000|Novi Sad|Vojvodina|179626
United States|North America|USA|278357000|Henderson|Nevada|175381
Portugal|Southern Europe|PRT|9997600|Coímbra|Coímbra|96100
Bangladesh|Southern and Central Asia|BGD|129155000|Sirajganj|Rajshahi|99669
Germany|Western Europe|DEU|82164700|Nürnberg|Baijeri|486628
Brazil|South America|BRA|170115000|Cametá|Pará|92779
United States|North America|USA|278357000|Glendale|California|194973
United States|North America|USA|278357000|Fort Lauderdale|Florida|152397
China|Eastern Asia|CHN|1277558000|Manzhouli|Inner Mongolia|120023
Brazil|South America|BRA|170115000|Governador Valadares|Minas Gerais|231724
France|Western Europe|FRA|59225700|Nice|Provence-Alpes-Côte|342738
India|Southern and Central Asia|IND|1013662000|Coimbatore|Tamil Nadu|816321
Kazakstan|Southern and Central Asia|KAZ|16223000|Atyrau|Atyrau|142500
India|Southern and Central Asia|IND|1013662000|Kakinada|Andhra Pradesh|279980
Cuba|Caribbean|CUB|11201000|Cienfuegos|Cienfuegos|132770
Mexico|Central America|MEX|98881000|Allende|Guanajuato|134645
Russian Federation|Eastern Europe|RUS|146934000|Engels|Saratov|189000
Japan|Eastern Asia|JPN|126714000|Fuji|Shizuoka|231527
Peru|South America|PER|25662000|Trujillo|La Libertad|652000
India|Southern and Central Asia|IND|1013662000|Bhusawal|Maharashtra|145143
Japan|Eastern Asia|JPN|126714000|Koganei|Tokyo-to|110969
Saudi Arabia|Middle East|SAU|21607000|Jubayl|al-Sharqiya|140800
Japan|Eastern Asia|JPN|126714000|Nishinomiya|Hyogo|397618
India|Southern and Central Asia|IND|1013662000|Faridabad|Haryana|703592
Vietnam|Southeast Asia|VNM|79832000|Hanoi|Hanoi|1410000
Brazil|South America|BRA|170115000|Volta Redonda|Rio de Janeiro|240315
India|Southern and Central Asia|IND|1013662000|Sirsa|Haryana|125000
China|Eastern Asia|CHN|1277558000|Jiangyou|Sichuan|175753
Nigeria|Western Africa|NGA|111506000|Abeokuta|Ogun|427400
Japan|Eastern Asia|JPN|126714000|Hiroshima|Hiroshima|1119117
Taiwan|Eastern Asia|TWN|22256000|Tali|Taichung|171940
Italy|Southern Europe|ITA|57680000|Bergamo|Lombardia|117837
Brazil|South America|BRA|170115000|Teófilo Otoni|Minas Gerais|124489
Taiwan|Eastern Asia|TWN|22256000|Hsinchu|Hsinchu|361958
India|Southern and Central Asia|IND|1013662000|Chapra|Bihar|136877
Angola|Central Africa|AGO|12878000|Huambo|Huambo|163100
United States|North America|USA|278357000|Corona|California|124966
India|Southern and Central Asia|IND|1013662000|Nashik (Nasik)|Maharashtra|656925
Romania|Eastern Europe|ROM|22455500|Galati|Galati|330276
India|Southern and Central Asia|IND|1013662000|Firozabad|Uttar Pradesh|215128
Uganda|Eastern Africa|UGA|21778000|Kampala|Central|890800
Netherlands|Western Europe|NLD|15864000|Nijmegen|Gelderland|152463
United Kingdom|British Islands|GBR|59623400|Reading|England|148000
China|Eastern Asia|CHN|1277558000|Nanping|Fujian|195064
Russian Federation|Eastern Europe|RUS|146934000|Pervouralsk|Sverdlovsk|136100
South Africa|Southern Africa|ZAF|40377000|Rustenburg|North West|97008
Jordan|Middle East|JOR|5083000|Wadi al-Sir|Amman|89104
Bangladesh|Southern and Central Asia|BGD|129155000|Dinajpur|Rajshahi|127815
Russian Federation|Eastern Europe|RUS|146934000|Kursk|Kursk|443500
India|Southern and Central Asia|IND|1013662000|Jhansi|Uttar Pradesh|300850
Philippines|Southeast Asia|PHL|75967000|Calapan|Southern Tagalog|105910
United States|North America|USA|278357000|Vancouver|Washington|143560
United States|North America|USA|278357000|Shreveport|Louisiana|200145
Japan|Eastern Asia|JPN|126714000|Kakamigahara|Gifu|131831
North Korea|Eastern Asia|PRK|24039000|Haeju|Hwanghae N|229172
United States|North America|USA|278357000|Clarksville|Tennessee|108787
Italy|Southern Europe|ITA|57680000|Bologna|Emilia-Romagna|381161
Hungary|Eastern Europe|HUN|10043200|Györ|Györ-Moson-Sopron|127119
Pakistan|Southern and Central Asia|PAK|156483000|Dera Ismail Khan|Nothwest Border Prov|90400
Colombia|South America|COL|42321000|Sincelejo|Sucre|220704
China|Eastern Asia|CHN|1277558000|Honghu|Hubei|190772
China|Eastern Asia|CHN|1277558000|Nanyang|Henan|243303
South Korea|Eastern Asia|KOR|46844000|Sangju|Kyongsangbuk|124116
Morocco|Northern Africa|MAR|28351000|Ksar el Kebir|Tanger-Tétouan|107065
Russian Federation|Eastern Europe|RUS|146934000|Obninsk|Kaluga|108300
South Africa|Southern Africa|ZAF|40377000|East London|Eastern Cape|221047
Svalbard and Jan Mayen|Nordic Countries|SJM|3200|Longyearbyen|Länsimaa|1438
Italy|Southern Europe|ITA|57680000|Lecce|Apulia|98208
Argentina|South America|ARG|37032000|Guaymallén|Mendoza|200595
Mexico|Central America|MEX|98881000|Zapopan|Jalisco|1002239
Myanmar|Southeast Asia|MMR|45611000|Prome (Pyay)|Pegu [Bago]|105700
Kazakstan|Southern and Central Asia|KAZ|16223000|Shymkent|South Kazakstan|360100
Germany|Western Europe|DEU|82164700|Berlin|Berliini|3386667
Russian Federation|Eastern Europe|RUS|146934000|Balašov|Saratov|97100
China|Eastern Asia|CHN|1277558000|Kanton [Guangzhou]|Guangdong|4256300
Sudan|Northern Africa|SDN|29490000|Khartum|Khartum|947483
France|Western Europe|FRA|59225700|Nancy|Lorraine|103605
Japan|Eastern Asia|JPN|126714000|Konan|Aichi|95521
United States|North America|USA|278357000|New York|New York|8008278
South Korea|Eastern Asia|KOR|46844000|Ulsan|Kyongsangnam|1084891
United States|North America|USA|278357000|Garland|Texas|215768
Bosnia and Herzegovina|Southern Europe|BIH|3972000|Sarajevo|Federaatio|360000
India|Southern and Central Asia|IND|1013662000|Kanpur|Uttar Pradesh|1874409
United Kingdom|British Islands|GBR|59623400|Woking/Byfleet|England|92000
Dominica|Caribbean|DMA|71000|Roseau|St George|16243
United States|North America|USA|278357000|Burbank|California|100316
United States|North America|USA|278357000|Fort Collins|Colorado|118652
Venezuela|South America|VEN|24170000|Ocumare del Tuy|Miranda|97168
Ethiopia|Eastern Africa|ETH|62565000|Dese|Amhara|97314
Japan|Eastern Asia|JPN|126714000|Matsusaka|Mie|123582
Russian Federation|Eastern Europe|RUS|146934000|Komsomolsk-na-Amure|Habarovsk|291600
Ukraine|Eastern Europe|UKR|50456000|Ternopil|Ternopil|236000
Madagascar|Eastern Africa|MDG|15942000|Toamasina|Toamasina|127441
United States|North America|USA|278357000|Grand Prairie|Texas|127427
Japan|Eastern Asia|JPN|126714000|Asaka|Saitama|114815
India|Southern and Central Asia|IND|1013662000|Bhubaneswar|Orissa|411542
India|Southern and Central Asia|IND|1013662000|Katihar|Bihar|154367
Brazil|South America|BRA|170115000|Uberlândia|Minas Gerais|487222
Belarus|Eastern Europe|BLR|10236000|Bobruisk|Mogiljov|221000
Brazil|South America|BRA|170115000|Gravataí|Rio Grande do Sul|223011
Japan|Eastern Asia|JPN|126714000|Toda|Saitama|103969
Ukraine|Eastern Europe|UKR|50456000|Kryvyi Rig|Dnipropetrovsk|703000
Mexico|Central America|MEX|98881000|Ahome|Sinaloa|358663
Canada|North America|CAN|31147000|Vaughan|Ontario|147889
Mexico|Central America|MEX|98881000|Metepec|México|194265
Bolivia|South America|BOL|8329000|Sucre|Chuquisaca|178426
Ethiopia|Eastern Africa|ETH|62565000|Addis Abeba|Addis Abeba|2495000
United Kingdom|British Islands|GBR|59623400|Kingston upon Hull|England|262000
United States|North America|USA|278357000|Tampa|Florida|303447
Japan|Eastern Asia|JPN|126714000|Toyama|Toyama|325790
India|Southern and Central Asia|IND|1013662000|Bally|West Bengali|184474
United States|North America|USA|278357000|Jackson|Mississippi|184256
Iran|Southern and Central Asia|IRN|67702000|Jahrom|Fars|94200
Japan|Eastern Asia|JPN|126714000|Nagasaki|Nagasaki|432759
Ukraine|Eastern Europe|UKR|50456000|Donetsk|Donetsk|1050000
Brazil|South America|BRA|170115000|Paulista|Pernambuco|248473
Ukraine|Eastern Europe|UKR|50456000|Lviv|Lviv|788000
Croatia|Southern Europe|HRV|4473000|Rijeka|Primorje-Gorski Kota|167964
Brazil|South America|BRA|170115000|Taubaté|São Paulo|229130
China|Eastern Asia|CHN|1277558000|Korla|Xinxiang|159344
Germany|Western Europe|DEU|82164700|Solingen|Nordrhein-Westfalen|165583
Japan|Eastern Asia|JPN|126714000|Osaka|Osaka|2595674
United States|North America|USA|278357000|Fall River|Massachusetts|90555
Brazil|South America|BRA|170115000|Parnamirim|Rio Grande do Norte|96210
United Kingdom|British Islands|GBR|59623400|Norwich|England|124000
New Zealand|Australia and New Zealand|NZL|3862000|Lower Hutt|Wellington|98100
Venezuela|South America|VEN|24170000|Maturín|Monagas|319726
Nicaragua|Central America|NIC|5074000|León|León|123865
Georgia|Middle East|GEO|4968000|Kutaisi|Imereti|240900
Romania|Eastern Europe|ROM|22455500|Braila|Braila|233756
Morocco|Northern Africa|MAR|28351000|Safi|Doukkala-Abda|262300
China|Eastern Asia|CHN|1277558000|Daxian|Sichuan|188101
China|Eastern Asia|CHN|1277558000|Jiaozuo|Henan|409100
El Salvador|Central America|SLV|6276000|Apopa|San Salvador|88800
Mexico|Central America|MEX|98881000|Coatzacoalcos|Veracruz|267037
Iran|Southern and Central Asia|IRN|67702000|Qods|Teheran|138278
United States|North America|USA|278357000|Grand Rapids|Michigan|197800
Denmark|Nordic Countries|DNK|5330000|København|København|495699
United States|North America|USA|278357000|Visalia|California|91762
Colombia|South America|COL|42321000|Floridablanca|Santander|221913
China|Eastern Asia|CHN|1277558000|Shangzi|Heilongjiang|215373
El Salvador|Central America|SLV|6276000|San Miguel|San Miguel|127696
Thailand|Southeast Asia|THA|61399000|Nakhon Pathom|Nakhon Pathom|94100
China|Eastern Asia|CHN|1277558000|Qingyuan|Guangdong|164641
Colombia|South America|COL|42321000|Barrancabermeja|Santander|178020
Chile|South America|CHL|15211000|Coronel|Bíobío|93061
India|Southern and Central Asia|IND|1013662000|Bijapur|Karnataka|186939
Russian Federation|Eastern Europe|RUS|146934000|Zlatoust|Tšeljabinsk|196900
Mexico|Central America|MEX|98881000|Tultepec|México|93364
Brazil|South America|BRA|170115000|Rio Grande|Rio Grande do Sul|182222
South Korea|Eastern Asia|KOR|46844000|Andong|Kyongsangbuk|188443
Japan|Eastern Asia|JPN|126714000|Matsue|Shimane|149821
United Kingdom|British Islands|GBR|59623400|Maidstone|England|90878
Japan|Eastern Asia|JPN|126714000|Obihiro|Hokkaido|173685
China|Eastern Asia|CHN|1277558000|Shenyang|Liaoning|4265200
India|Southern and Central Asia|IND|1013662000|Kamarhati|West Bengali|266889
United States|North America|USA|278357000|Plano|Texas|222030
Japan|Eastern Asia|JPN|126714000|Kasukabe|Saitama|201838
Mexico|Central America|MEX|98881000|Chalco|México|222201
Madagascar|Eastern Africa|MDG|15942000|Fianarantsoa|Fianarantsoa|99005
Iran|Southern and Central Asia|IRN|67702000|Urmia|West Azerbaidzan|435200
United States|North America|USA|278357000|Torrance|California|137946
United States|North America|USA|278357000|Springfield|Illinois|111454
United Arab Emirates|Middle East|ARE|2441000|Sharja|Sharja|320095
Mexico|Central America|MEX|98881000|Los Cabos|Baja California Sur|105199
Bermuda|North America|BMU|65000|Hamilton|Hamilton|1200
China|Eastern Asia|CHN|1277558000|Loudi|Hunan|128418
Philippines|Southeast Asia|PHL|75967000|Bislig|Caraga|97860
Pakistan|Southern and Central Asia|PAK|156483000|Mardan|Nothwest Border Prov|244511
Philippines|Southeast Asia|PHL|75967000|Imus|Southern Tagalog|195482
Russian Federation|Eastern Europe|RUS|146934000|Novošahtinsk|Rostov-na-Donu|101900
United States|North America|USA|278357000|Rochester|New York|219773
Russian Federation|Eastern Europe|RUS|146934000|Kazan|Tatarstan|1101000
Brazil|South America|BRA|170115000|Parnaíba|Piauí|129756
Saudi Arabia|Middle East|SAU|21607000|Riyadh|Riyadh|3324000
Philippines|Southeast Asia|PHL|75967000|Bago|Western Visayas|141721
India|Southern and Central Asia|IND|1013662000|Darbhanga|Bihar|218391
China|Eastern Asia|CHN|1277558000|Gongziling|Jilin|226569
China|Eastern Asia|CHN|1277558000|Siping|Jilin|317223
Canada|North America|CAN|31147000|Regina|Saskatchewan|180400
Russian Federation|Eastern Europe|RUS|146934000|Tjumen|Tjumen|503400
Saint Pierre and Miquelon|North America|SPM|7000|Saint-Pierre|Saint-Pierre|5808
Brazil|South America|BRA|170115000|Taboão da Serra|São Paulo|197550
United States|North America|USA|278357000|Fairfield|California|92256
United States|North America|USA|278357000|Westminster|Colorado|100940
Pakistan|Southern and Central Asia|PAK|156483000|Gujranwala|Punjab|1124749
South Korea|Eastern Asia|KOR|46844000|Mokpo|Chollanam|247452
Iraq|Middle East|IRQ|23115000|al-Sulaymaniya|al-Sulaymaniya|364096
Brazil|South America|BRA|170115000|Brasília|Distrito Federal|1969868
China|Eastern Asia|CHN|1277558000|Dandong|Liaoning|520000
Madagascar|Eastern Africa|MDG|15942000|Mahajanga|Mahajanga|100807
China|Eastern Asia|CHN|1277558000|Luoyang|Henan|760000
India|Southern and Central Asia|IND|1013662000|Bihar Sharif|Bihar|201323
Italy|Southern Europe|ITA|57680000|Roma|Latium|2643581
India|Southern and Central Asia|IND|1013662000|Ujjain|Madhya Pradesh|362266
United States|North America|USA|278357000|Montgomery|Alabama|201568
Myanmar|Southeast Asia|MMR|45611000|Monywa|Sagaing|138600
China|Eastern Asia|CHN|1277558000|Yulin|Guangxi|144467
Italy|Southern Europe|ITA|57680000|Napoli|Campania|1002619
Zambia|Eastern Africa|ZMB|9169000|Ndola|Copperbelt|329200
Ukraine|Eastern Europe|UKR|50456000|Vinnytsja|Vinnytsja|391000
India|Southern and Central Asia|IND|1013662000|Morena|Madhya Pradesh|147124
South Africa|Southern Africa|ZAF|40377000|Port Elizabeth|Eastern Cape|752319
Brazil|South America|BRA|170115000|Atibaia|São Paulo|100356
Angola|Central Africa|AGO|12878000|Luanda|Luanda|2022000
United States|North America|USA|278357000|Albuquerque|New Mexico|448607
Pakistan|Southern and Central Asia|PAK|156483000|Khairpur|Sind|102200
Russian Federation|Eastern Europe|RUS|146934000|Penza|Penza|532200
Japan|Eastern Asia|JPN|126714000|Kameoka|Kyoto|92398
Russian Federation|Eastern Europe|RUS|146934000|Klin|Moskova|90000
Turkey|Middle East|TUR|66591000|Ceyhan|Adana|102412
Bolivia|South America|BOL|8329000|El Alto|La Paz|534466
Germany|Western Europe|DEU|82164700|Leverkusen|Nordrhein-Westfalen|160841
India|Southern and Central Asia|IND|1013662000|Bellary|Karnataka|245391
Egypt|Northern Africa|EGY|68470000|Bani Suwayf|Bani Suwayf|172032
Malaysia|Southeast Asia|MYS|22244000|Sandakan|Sabah|125841
Colombia|South America|COL|42321000|Envigado|Antioquia|135848
India|Southern and Central Asia|IND|1013662000|Allappuzha (Alleppey)|Kerala|174666
Mexico|Central America|MEX|98881000|Ixtapaluca|México|293160
Ukraine|Eastern Europe|UKR|50456000|Šostka|Sumy|90000
North Korea|Eastern Asia|PRK|24039000|Chongjin|Hamgyong P|582480
Sweden|Nordic Countries|SWE|8861400|Västerås|Västmanlands län|126328
India|Southern and Central Asia|IND|1013662000|Valparai|Tamil Nadu|106523
Brazil|South America|BRA|170115000|Araraquara|São Paulo|174381
Egypt|Northern Africa|EGY|68470000|Mit Ghamr|al-Daqahliya|101801
Poland|Eastern Europe|POL|38653600|Jastrzebie-Zdrój|Slaskie|102294
Iran|Southern and Central Asia|IRN|67702000|Dezful|Khuzestan|202639
India|Southern and Central Asia|IND|1013662000|Pali|Rajasthan|136842
Chile|South America|CHL|15211000|Puerto Montt|Los Lagos|152194
Côte d’Ivoire|Western Africa|CIV|14786000|Yamoussoukro|Yamoussoukro|130000
Japan|Eastern Asia|JPN|126714000|Ichinomiya|Aichi|270828
Mexico|Central America|MEX|98881000|Torreón|Coahuila de Zaragoza|529093
China|Eastern Asia|CHN|1277558000|Pingxiang|Jiangxi|425579
Bhutan|Southern and Central Asia|BTN|2124000|Thimphu|Thimphu|22000
Israel|Middle East|ISR|6217000|Beerseba|Ha Darom|163700
Pakistan|Southern and Central Asia|PAK|156483000|Abottabad|Nothwest Border Prov|106000
Japan|Eastern Asia|JPN|126714000|Tokushima|Tokushima|269649
India|Southern and Central Asia|IND|1013662000|Bhuj|Gujarat|102176
Yemen|Middle East|YEM|18112000|Taizz|Taizz|317600
Netherlands|Western Europe|NLD|15864000|Enschede|Overijssel|149544
India|Southern and Central Asia|IND|1013662000|Puri|Orissa|125199
United States|North America|USA|278357000|Bridgeport|Connecticut|139529
Russian Federation|Eastern Europe|RUS|146934000|Jekaterinburg|Sverdlovsk|1266300
Brazil|South America|BRA|170115000|Abaetetuba|Pará|111258
Spain|Southern Europe|ESP|39441700|Las Palmas de Gran Canaria|Canary Islands|354757
Japan|Eastern Asia|JPN|126714000|Neyagawa|Osaka|257315
United States|North America|USA|278357000|New Bedford|Massachusetts|94780
Finland|Nordic Countries|FIN|5171300|Vantaa|Newmaa|178471
Senegal|Western Africa|SEN|9481000|Dakar|Cap-Vert|785071
Philippines|Southeast Asia|PHL|75967000|Manila|National Capital Reg|1581082
Colombia|South America|COL|42321000|Barranquilla|Atlántico|1223260
Iran|Southern and Central Asia|IRN|67702000|Kermanshah|Kermanshah|692986
Mexico|Central America|MEX|98881000|Navojoa|Sonora|140495
United Kingdom|British Islands|GBR|59623400|Preston|England|135000
Nepal|Southern and Central Asia|NPL|23930000|Kathmandu|Central|591835
Russian Federation|Eastern Europe|RUS|146934000|Bijsk|Altai|225000
Philippines|Southeast Asia|PHL|75967000|Baybay|Eastern Visayas|95630
Comoros|Eastern Africa|COM|578000|Moroni|Njazidja|36000
Tanzania|Eastern Africa|TZA|33517000|Tanga|Tanga|137400
Brazil|South America|BRA|170115000|São Caetano do Sul|São Paulo|133321
Egypt|Northern Africa|EGY|68470000|Qina|Qina|171275
Germany|Western Europe|DEU|82164700|Ludwigshafen am Rhein|Rheinland-Pfalz|163771
India|Southern and Central Asia|IND|1013662000|Dindigul|Tamil Nadu|182477
Spain|Southern Europe|ESP|39441700|Castellón de la Plana [Castell|Valencia|139712
Brazil|South America|BRA|170115000|Francisco Morato|São Paulo|121197
India|Southern and Central Asia|IND|1013662000|Jodhpur|Rajasthan|666279
Malaysia|Southeast Asia|MYS|22244000|Alor Setar|Kedah|124412
Turkey|Middle East|TUR|66591000|Konya|Konya|628364
China|Eastern Asia|CHN|1277558000|Huai´an|Jiangsu|131149
India|Southern and Central Asia|IND|1013662000|Bhiwandi|Maharashtra|379070
Nigeria|Western Africa|NGA|111506000|Sokoto|Sokoto & Kebbi & Zam|204900
Turkey|Middle East|TUR|66591000|Van|Van|219319
Brazil|South America|BRA|170115000|Mossoró|Rio Grande do Norte|214901
China|Eastern Asia|CHN|1277558000|Tieling|Liaoning|254842
China|Eastern Asia|CHN|1277558000|Shishou|Hubei|104571
Japan|Eastern Asia|JPN|126714000|Toyota|Aichi|346090
Indonesia|Southeast Asia|IDN|212107000|Depok|West Java|365200
United Kingdom|British Islands|GBR|59623400|Southport|England|90959
Turkey|Middle East|TUR|66591000|Usak|Usak|128162
Chile|South America|CHL|15211000|Puente Alto|Santiago|386236
Netherlands|Western Europe|NLD|15864000|Haag|Zuid-Holland|440900
Russian Federation|Eastern Europe|RUS|146934000|Zeleznogorsk|Krasnojarsk|94000
Brazil|South America|BRA|170115000|Juiz de Fora|Minas Gerais|450288
Russian Federation|Eastern Europe|RUS|146934000|Korolev|Moskova|132400
Japan|Eastern Asia|JPN|126714000|Sasebo|Nagasaki|244240
Ukraine|Eastern Europe|UKR|50456000|Tšerkasy|Tšerkasy|309000
China|Eastern Asia|CHN|1277558000|Dujiangyan|Sichuan|123357
China|Eastern Asia|CHN|1277558000|Zhaoqing|Guangdong|194784
Peru|South America|PER|25662000|Cusco|Cusco|291000
Russian Federation|Eastern Europe|RUS|146934000|Habarovsk|Habarovsk|609400
Nauru|Micronesia|NRU|12000|Yangor|–|4050
Philippines|Southeast Asia|PHL|75967000|San José del Monte|Central Luzon|315807
Indonesia|Southeast Asia|IDN|212107000|Gorontalo|Sulawesi Utara|94058
United Kingdom|British Islands|GBR|59623400|West Bromwich|England|146386
Indonesia|Southeast Asia|IDN|212107000|Citeureup|West Java|105100
Canada|North America|CAN|31147000|Barrie|Ontario|89269
Suriname|South America|SUR|417000|Paramaribo|Paramaribo|112000
Saudi Arabia|Middle East|SAU|21607000|Mekka|Mekka|965700
India|Southern and Central Asia|IND|1013662000|Pondicherry|Pondicherry|203065
Mexico|Central America|MEX|98881000|Córdoba|Veracruz|176952
United States|North America|USA|278357000|Albany|New York|93994
Cuba|Caribbean|CUB|11201000|Pinar del Río|Pinar del Río|142100
Tanzania|Eastern Africa|TZA|33517000|Dodoma|Dodoma|189000
Mexico|Central America|MEX|98881000|Celaya|Guanajuato|382140
South Korea|Eastern Asia|KOR|46844000|Kunpo|Kyonggi|235233
Indonesia|Southeast Asia|IDN|212107000|Kediri|East Java|253760
Pakistan|Southern and Central Asia|PAK|156483000|Chishtian Mandi|Punjab|101700
